Time,Packet (Hexadecimal),RSSI,SNR
29-01-2025 17:59:24,0x60 0xa4 0x63 0x7d 0xa8 0x9d 0x39 0x31 0x7f 0xf8 0xa3 0x22 0xfc 0xae 0x77 0xb4 0x98 0x39 0x66 0x7b 0xaf,-122,1.5
29-01-2025 17:59:25,0x86 0xc6 0xc6 0x1f 0x16 0xff 0x5b 0x53 0x1d 0x9a 0xc1 0x40 0x9e 0xcc 0x15 0xd6 0xfa 0x6d 0xb8 0xf7 0x25,-123,-0.75
29-01-2025 17:59:26,0xe8 0x2c 0xe9 0xf5 0xc 0x15 0xb1 0xb9 0xf7 0x70 0x2b 0xaa 0x74 0x26 0xff 0x3c 0x10 0x52 0x9b 0xbf 0xe7,-125,-3.5
29-01-2025 17:59:26,0xe6 0x26 0xc2 0xff 0x8 0x1f 0xbb 0xb3 0xfd 0x7a 0x21 0xa0 0x7e 0x2c 0xf5 0x36 0x1a 0x41 0x9b 0x40 0x33,-120,2.25
29-01-2025 17:59:26,0x58 0xfc 0x39 0x25 0xdc 0xc5 0x61 0x69 0x27 0xa0 0xfb 0x7a 0xa4 0xf6 0x2f 0x8c 0xc0 0xdf 0x1 0x84 0xd0,-124,-2.25
29-01-2025 17:59:27,0xc6 0x6 0x86 0xdf 0x56 0x3f 0x9b 0x93 0xdd 0x5a 0x1 0x80 0x5e 0xc 0xd5 0x16 0x3a 0xd6 0xbc 0x60 0x26,-123,-0.75
29-01-2025 17:59:28,0xcd 0x11 0xf7 0xc8 0x3f 0x28 0x8c 0x84 0xca 0x4d 0x16 0x97 0x49 0x1b 0xd8 0x23 0x2d 0xe3 0xc9 0x70 0x9e,-121,2.75
29-01-2025 17:59:28,0x92 0x32 0xd6 0xeb 0x1c 0xb 0xaf 0xa7 0xe9 0x6e 0x35 0xb4 0x6a 0x38 0xf9 0xc2 0xe 0xa 0x7b 0x7b 0x7,-118,4.0
29-01-2025 17:59:29,0x92 0x32 0xd6 0xeb 0x1c 0xb 0xaf 0xa7 0xe9 0x6e 0x35 0xb4 0x6a 0x38 0xf9 0xc2 0xe 0xa 0x7b 0x7b 0x7,-118,4.25
29-01-2025 17:59:30,0xc7 0x7 0x8e 0xde 0x53 0x3e 0x9a 0x92 0xdc 0x5b 0x0 0x81 0x5f 0xd 0xd2 0x19 0x3b 0xb7 0xa0 0x9c 0x15,-125,-2.25
29-01-2025 17:59:31,0x7b 0x9b 0x11 0x42 0xa3 0xa2 0x6 0xe 0x40 0xc7 0x9c 0x1d 0xc3 0x91 0x4e 0xad 0xa7 0xac 0x95 0x96 0xdc,-123,-0.25
